movie_title,Title_URL,image_url,movie_url,release_year,certificate,time,genre,stars,Score,description,director_url,director_name,cast_url1,cast1,cast_url2,cast2,cast_url3,cast3,cast_url4,cast4,votes
Shazam!,https://www.imdb.com/title/tt0448115/?ref_=kw_li_tt,"https://m.media-amazon.com/images/M/MV5BOWZhZjE4NGQtODg5Ni00MjQ1LWJmMzAtNzQ2N2M1NzYzMDJkXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/title/tt0448115/?ref_=kw_li_i,(2019),PG-13,132 min,"Action, Adventure, Comedy",7.0,"71        
        Metascore",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,https://www.imdb.com/name/nm2497546/?ref_=kw_li_dr_0,David F. Sandberg,https://www.imdb.com/name/nm1157048/?ref_=kw_li_st_0,Zachary Levi,https://www.imdb.com/name/nm0835016/?ref_=kw_li_st_1,Mark Strong,https://www.imdb.com/name/nm4755508/?ref_=kw_li_st_2,Asher Angel,https://www.imdb.com/name/nm6244013/?ref_=kw_li_st_3,Jack Dylan Grazer,"335,718"
Little Women,https://www.imdb.com/title/tt3281548/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt3281548/?ref_=kw_li_i,(2019),PG,135 min,"Drama, Romance",7.8,"91        
        Metascore","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",https://www.imdb.com/name/nm1950086/?ref_=kw_li_dr_0,Greta Gerwig,https://www.imdb.com/name/nm1519680/?ref_=kw_li_st_0,Saoirse Ronan,https://www.imdb.com/name/nm0914612/?ref_=kw_li_st_1,Emma Watson,https://www.imdb.com/name/nm6073955/?ref_=kw_li_st_2,Florence Pugh,https://www.imdb.com/name/nm7340546/?ref_=kw_li_st_3,Eliza Scanlen,"203,580"
A Bad Moms Christmas,https://www.imdb.com/title/tt6359956/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt6359956/?ref_=kw_li_i,(2017),R,104 min,Comedy,5.6,"42        
        Metascore","As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",https://www.imdb.com/name/nm0524190/?ref_=kw_li_dr_0,Jon Lucas,https://www.imdb.com/name/nm0601859/?ref_=kw_li_dr_1,Scott Moore,https://www.imdb.com/name/nm0005109/?ref_=kw_li_st_0,Mila Kunis,https://www.imdb.com/name/nm0068338/?ref_=kw_li_st_1,Kristen Bell,https://www.imdb.com/name/nm1063517/?ref_=kw_li_st_2,Kathryn Hahn,"51,131"
The Grinch,https://www.imdb.com/title/tt2709692/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt2709692/?ref_=kw_li_i,(2018),PG,85 min,"Animation, Comedy, Family",6.3,"51        
        Metascore",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,https://www.imdb.com/name/nm0155528/?ref_=kw_li_dr_0,Yarrow Cheney,https://www.imdb.com/name/nm0608714/?ref_=kw_li_dr_1,Scott Mosier,https://www.imdb.com/name/nm1212722/?ref_=kw_li_st_0,Benedict Cumberbatch,https://www.imdb.com/name/nm7372981/?ref_=kw_li_st_1,Cameron Seely,https://www.imdb.com/name/nm0429069/?ref_=kw_li_st_2,Rashida Jones,"70,679"
Last Christmas,https://www.imdb.com/title/tt8623904/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt8623904/?ref_=kw_li_i,(2019),PG-13,103 min,"Comedy, Drama, Fantasy",6.5,"50        
        Metascore","Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",https://www.imdb.com/name/nm0082450/?ref_=kw_li_dr_0,Paul Feig,https://www.imdb.com/name/nm10916154/?ref_=kw_li_st_0,Madison Ingoldsby,https://www.imdb.com/name/nm0000668/?ref_=kw_li_st_1,Emma Thompson,https://www.imdb.com/name/nm0410667/?ref_=kw_li_st_2,Boris Isakovic,https://www.imdb.com/name/nm8838405/?ref_=kw_li_st_3,Lucy Miller,"78,112"
Happiest Season,https://www.imdb.com/title/tt8522006/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt8522006/?ref_=kw_li_i,(2020),PG-13,102 min,"Comedy, Drama, Romance",6.6,"69        
        Metascore","A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas by revealing a nasty secret.",https://www.imdb.com/name/nm0245112/?ref_=kw_li_dr_0,Clea DuVall,https://www.imdb.com/name/nm0829576/?ref_=kw_li_st_0,Kristen Stewart,https://www.imdb.com/name/nm4496875/?ref_=kw_li_st_1,Mackenzie Davis,https://www.imdb.com/name/nm0005460/?ref_=kw_li_st_2,Mary Steenburgen,https://www.imdb.com/name/nm0001255/?ref_=kw_li_st_3,Victor Garber,"39,569"
Holidate,https://www.imdb.com/title/tt9866072/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt9866072/?ref_=kw_li_i,(2020),TV-MA,104 min,"Comedy, Romance",6.1,"44        
        Metascore","Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",https://www.imdb.com/name/nm0925870/?ref_=kw_li_dr_0,John Whitesell,https://www.imdb.com/name/nm0731075/?ref_=kw_li_st_0,Emma Roberts,https://www.imdb.com/name/nm3478396/?ref_=kw_li_st_1,Luke Bracey,https://www.imdb.com/name/nm0155693/?ref_=kw_li_st_2,Kristin Chenoweth,https://www.imdb.com/name/nm0004920/?ref_=kw_li_st_3,Frances Fisher,"65,781"
Klaus,https://www.imdb.com/title/tt4729430/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt4729430/?ref_=kw_li_i,(2019),PG,96 min,"Animation, Adventure, Comedy",8.1,"65        
        Metascore","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",https://www.imdb.com/name/nm0655053/?ref_=kw_li_dr_0,Sergio Pablos,https://www.imdb.com/name/nm3582089/?ref_=kw_li_dr_1,Carlos Martínez López,https://www.imdb.com/name/nm0005403/?ref_=kw_li_st_0,Jason Schwartzman,https://www.imdb.com/name/nm0799777/?ref_=kw_li_st_1,J.K. Simmons,https://www.imdb.com/name/nm0429069/?ref_=kw_li_st_2,Rashida Jones,"148,613"
Christmas at Castle Hart,https://www.imdb.com/title/tt15943556/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt15943556/?ref_=kw_li_i,(2021 TV Movie),TV-G,84 min,Romance,6.3,,"Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there, she meets Aiden Hart. Mistaken for an elite event planner, she's hired to host his castle's epic Christmas party.",https://www.imdb.com/name/nm0768737/?ref_=kw_li_dr_0,Stefan Scaini,https://www.imdb.com/name/nm0000327/?ref_=kw_li_st_0,Lacey Chabert,https://www.imdb.com/name/nm0870204/?ref_=kw_li_st_1,Stuart Townsend,https://www.imdb.com/name/nm9097615/?ref_=kw_li_st_2,Ali Hardiman,https://www.imdb.com/name/nm0002347/?ref_=kw_li_st_3,Kate O'Toole,"1,328"
The Christmas Train,https://www.imdb.com/title/tt7370936/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt7370936/?ref_=kw_li_i,(2017 TV Movie),TV-G,99 min,"Drama, Romance",6.4,,"A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.",https://www.imdb.com/name/nm0646987/?ref_=kw_li_dr_0,Ron Oliver,https://www.imdb.com/name/nm0000551/?ref_=kw_li_st_0,Dermot Mulroney,https://www.imdb.com/name/nm0931090/?ref_=kw_li_st_1,Kimberly Williams-Paisley,https://www.imdb.com/name/nm0000418/?ref_=kw_li_st_2,Danny Glover,https://www.imdb.com/name/nm0000349/?ref_=kw_li_st_3,Joan Cusack,"2,682"
